ID,LABEL,Type,SubClass Of [NAMED],definition,has_obo_namespace,database_cross_reference,creation_date,created_by
IAO:0000115,definition,Annotation property,,,,,,
obo:ID_GEO0000000,Earth,Class,,Earth,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000001,Africa,Class,Earth,A continent.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000002,Asia,Class,Earth,A continent.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000003,Europe,Class,Earth,A continent.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000004,North America,Class,Earth,A continent.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000005,South America,Class,Earth,A continent.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000006,Oceania,Class,Earth,A continent.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000007,Antarctica,Class,Earth,A continent.,GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000008,Middle East,Class,Earth,"Region comprising of the following countries: AE,BH,CY,EG,IL,IQ,IR,JO,KW,LB,OM,PS,QA,SA,SY,TR,YE.",GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000009,Arabia,Class,Earth,"Region comprising of the following countries: AE,BH,KW,OM,QA,SA,YE.",GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000010,Northern Europe,Class,Europe,"Region comprising of the following countries: GB,SE,DK,FI,NO,IE,LT,LV,EE,IS,JE,IM,GG,FO,AX.",GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000011,Eastern Europe,Class,Europe,"Region comprising of the following countries: RU,UA,PL,RO,CZ,HU,BY,BG,SK,MD.",GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000012,Western Africa,Class,Africa,"Region comprising of the following countries: NG,GH,CI,BF,NE,ML,SN,GN,BJ,TG,SL,LR,MR,GM,GW,CV,SH.",GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000013,Central Africa,Class,Africa,"Region comprising of the following countries: CD,CM,AO,TD,CF,CG,GA,GQ,ST.",GeoNames,,2017-02-17T00:00:00Z,lawson
obo:ID_GEO0000014,Northern Africa,Class,Africa,"Region comprising of the following countries: EG,SD,DZ,MA,TN,LY.",GeoNames,,2017-02-17T00:00:00Z,lawson
